scope_id,source_quarter_id,carry_forward_quarter_id,project_id,prior_service_violation_risk,carry_over_service_caution_flag,recommended_caution_level,caution_explanation,synthetic_dependency_flag
mvp_3plant,2028-Q1,2028-Q2,SF-100000,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2027-Q1,2027-Q2,SF-100033,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100035,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100049,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2026-Q1,2026-Q2,SF-100065,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2027-Q1,2027-Q2,SF-100065,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2027-Q1,2027-Q2,SF-100099,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2026-Q1,2026-Q2,SF-100115,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2026-Q1,2026-Q2,SF-100119,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2026-Q1,2026-Q2,SF-100120,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100120,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100124,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2027-Q1,2027-Q2,SF-100131,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2027-Q1,2027-Q2,SF-100142,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2027-Q1,2027-Q2,SF-100154,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100159,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100160,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100162,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100167,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2027-Q1,2027-Q2,SF-100169,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100179,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2027-Q1,2027-Q2,SF-100201,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2027-Q1,2027-Q2,SF-100211,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100229,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100243,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100249,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100251,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2026-Q1,2026-Q2,SF-100252,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2027-Q1,2027-Q2,SF-100262,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2027-Q1,2027-Q2,SF-100278,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100285,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2027-Q1,2027-Q2,SF-100288,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100288,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2027-Q1,2027-Q2,SF-100290,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2026-Q1,2026-Q2,SF-100296,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2027-Q1,2027-Q2,SF-100296,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100296,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2027-Q1,2027-Q2,SF-100331,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2026-Q1,2026-Q2,SF-100339,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2027-Q1,2027-Q2,SF-100350,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2027-Q1,2027-Q2,SF-100360,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2027-Q1,2027-Q2,SF-100361,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2027-Q1,2027-Q2,SF-100389,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2027-Q1,2027-Q2,SF-100395,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2026-Q1,2026-Q2,SF-100399,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2026-Q1,2026-Q2,SF-100406,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100412,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100413,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2027-Q1,2027-Q2,SF-100417,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2027-Q1,2027-Q2,SF-100424,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100462,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2027-Q1,2027-Q2,SF-100465,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2027-Q1,2027-Q2,SF-100495,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100529,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2027-Q1,2027-Q2,SF-100536,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100544,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2026-Q1,2026-Q2,SF-100559,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2027-Q1,2027-Q2,SF-100585,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100598,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100603,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100633,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2027-Q1,2027-Q2,SF-100644,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2026-Q1,2026-Q2,SF-100663,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100673,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100675,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2026-Q1,2026-Q2,SF-100681,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100697,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2027-Q1,2027-Q2,SF-100705,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100705,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
mvp_3plant,2028-Q1,2028-Q2,SF-100719,0.0,False,low,Q1 was clean — proceed with standard Q2 planning,True
